Electrical mechanic or fitter,"Electrical mechanics or fitters install, maintain, test, repair and adjust mechanical and electrical appliances, wiring, equipment, fixtures, etc. ","1.      Assemble and install electrical wiring, equipment, appliances, apparatus, fixtures, etc., using hand tools and power tools. ","2.      Perform scheduled preventative maintenance tasks, such as checking, cleaning and repairing equipment, to detect and prevent problems.","3.      Diagnose malfunctioning systems, apparatus, components, etc., using test and measuring equipment and hand tools to locate the cause of a breakdown. ","4.      Repair and adjust equipment, machines, defective components etc.","5.      Connect wires to circuit breakers, transformers, or other components. ","6.      Inspect electrical systems, equipment, and components to identify hazards, defects, and the need for adjustment or repair, and to ensure compliance with codes. ","7.      Test electrical systems and continuity of circuits in electrical wiring, equipment, fixtures, etc., using testing devices such as ohmmeters, voltmeters, and oscilloscopes, to ensure compatibility and safety of system. ","8.      Plan layout and installation of electrical wiring, equipment, fixtures, etc., based on job specifications and local codes. ",9.      Prepare sketches or follow blueprints to determine the location of wiring and equipment and to ensure conformance to building and safety codes.,10.  Report and advise relevant persons (e.g. management) on whether continued operation of equipment could be hazardous. ,,
Estate agent,"Estate agents rent, buy, or sell property for clients. Perform duties, such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. ","1. Prepare and present purchase offers to sellers for consideration, using e.g. detailed decriptions of the properties.",2. Ensure that terms and conditions of purchase agreements are met before closing dates.,3. Interview clients to determine what kinds of properties they are seeking.,"4. Prepare documents such as representation contracts, purchase agreements, closing statements, deeds and leases.","5. Coordinate property closings, overseeing signing of documents and disbursement of funds.","6. Negotiate between buyers and sellers, generally representing one or the other.","7. Promote sales of properties through advertisements, open houses, participation in multiple listing services, or other methods.",8. Compare a property with similar properties that have recently sold to determine its competitive market price.,9. Coordinate appointments to show homes to prospective buyers.,10. Generate lists of properties that are compatible with buyers' needs and financial resources.,,
Executive Secretary,"Executive secretaries provide high-level administrative support to executives by handling information requests and performing clerical functions, such as preparing correspondence, receiving visitors, arranging meetings and managing schedules. May also supervise lower-level clerical staff.","1. Answer, screen and direct telephone calls, take messages and handle enquiries and requests.",2. Greet visitors and direct them to the appropriate persons.,"3. Open, sort and distribute incoming correspondence, including faxes and email, and prepare responses to correspondence containing routine enquiries.","4. Read and analyse incoming memos, submissions and reports to determine their significance and plan their distribution. ","5. Produce correspondence, memos, reports, presentations and other documents from drafts, handwritten copies, machine dictation, etc., e.g. using computers with a variety of software packages.","6. File and retrieve documents, correspondence, records and reports, and set up filing systems. ",7. Manage and maintain executives' schedules.,"8. Organise travel arrangements, business itineraries, conferences and social functions for executives.","9. Prepare agendas and make arrangements for meetings (e.g. committee and board meetings), attend meetings and take minutes.",10. Make information searches and compile information for executives.,"11. Perform general office duties such as ordering supplies, serving refreshments and reporting about non-functioning office equipment.",12. Supervise other office workers and delegate work to them.
Field crop or vegetable grower,"Field crop or vegetable growers plan, direct, coordinate and perform farming operations to grow field crops, such as grain and vegetables.","1. Develop annual business plans and determine types and quantities of crops to be grown, according to factors such as market conditions, governmental support and soil conditions. ","2. Prepare soil (e.g. plough, harrow) by hand or machine, and spread fertilisers and manure.","3. Select and sow seeds, and plant seedlings.","4. Maintain crops e.g. by cultivating soil, by transplanting, pruning or thinning plants, and by setting up and operating irrigation equipment.","5. Control weeds, pests and diseases e.g. by applying weedkillers and pesticides commensurate with hygiene and health standards.",6. Harvest crops and destroy diseased or superfluous crops.,"7. Inspect, clean, grade, sort, package, store and load crops for marketing. ","8. Evaluate product marketing alternatives, establish market strategies, promote and market products, and organise the sale and transportation of products.","9. Recruit, coordinate and direct farm workers.","10. Keep inventory, and purchase supplies.","11. Maintain farm buildings, fences, equipment and water supply systems.","12. Perform administration duties, including keeping financial records, and managing budgets and accounts."
Filing Clerk,"Filing clerks file correspondence, cards, invoices, receipts and other records in alphabetical or numerical order or according to the filing system used. They locate and remove material from file when requested.","1. Keep records of materials (documents, correspondence, medical or other records) filed using e.g. computers or logbooks.",2. Add new material to file records and create new records as necessary.,"3. Gather relevant materials to be filed, e.g. from departments and employees.",4. Examine incoming materials in order to determine how and where they should be classified or filed.,"5. Sort or classify information according to guidelines such as content, purpose, user criteria or chronological, alphabetical or numerical order.",6. Assign and record or stamp identification numbers or codes in order to index materials for filing.,"7. Find and retrieve information from files in response to requests from authorised users, and lend, copy or duplicate documents or other records if necessary.",8. Track materials removed from files in order to ensure that borrowed files are returned.,"9. Organise the storage of materials (e.g. in filing cabinets, boxes, storage media) according to classification and identification information.",10. Remove old material from file records conforming to compulsory periods of record-keeping.,"11. Perform general office duties such as typing, operating office machines and sorting mail.",
Financial clerk,"Financial clerks compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. ","1. Check figures, postings, and documents for correct entry, mathematical accuracy, and proper codes.","2. Operate computers programmed with accounting software to record, store, and analyze information.","3. Debit, credit, and total accounts on computer spreadsheets and databases, using specialized accounting software.","4. Classify, record, and summarize numerical and financial data to compile and keep financial records, using journals and ledgers or computers.","5. Calculate, prepare, and issue bills, invoices, account statements, and other financial statements according to established procedures.","6. Compile statistical, financial, accounting or auditing reports and tables pertaining to such matters as cash receipts, expenditures, accounts payable and receivable, and profits and losses.",7. Code documents according to relevant procedures.,8. Access computerized financial information to answer general questions as well as those related to specific accounts.,,,,
Financial institution branch manager,"Financial institution branch managers direct and coordinate financial activities of workers in a branch, office, or department of an establishment, such as branch bank, brokerage firm, risk and insurance department, or credit department.","1. Plan, direct and coordinate the activities of staff in the branch or department. ",2.  Establish and maintain relationships with individual and business customers.,"3. Provide assistance with customers’ problems, such as heritage matters, changes in law that affect customers, etc.","4. Examine, evaluate and process loan applications.",5. Monitor credit extension decisions.,6. Conduct financial investigations.,"7. Oversee the flow of cash and financial instruments, and prepare financial and regulatory reports.","8. Recruit staff members, evaluate their performance, and coordinate training programmes.","9. Approve or reject, or coordinate the approval or rejection of, lines of credit and commercial, real estate and personal loans.",10. Coordinate the cooperation with the other branches of the company.,,
Fire Fighter,"Fire fighters respond to fire alarms and other emergency calls, control and extinguish fires, protect life and property and conduct rescue efforts.","1. Respond to fire alarms and other emergency calls, such as road accidents, rail and air crashes, industrial accidents, spillages of dangerous substances, bomb incidents and natural disasters.","2. Dress with equipment such as fire resistant clothing and breathing apparatus, and drive or crew fire fighting vehicles to travel to incident sites. ","3. Search, rescue and evacuate people and animals from burning buildings, accident sites and other dangerous situations. ",4. Administer first aid and other medical assistance to injured persons.,"5. Control and extinguish fires using firefighting equipment, such as ladders, hose pipes, pumps, axes and fire extinguishing appliances.","6. Assess fires and situations and report conditions to superiors to receive instructions, using e.g. radios.","7. Salvage goods from damaged premises, and clean up, check and make safe the incident site, e.g. by removing dangerous chemical substances.",8. Dive to locate and lift objects from under water.,9. Carry out practice drills and take part in physical and other training.,"10. Inspect, clean and maintain firefighting equipment.",11. Inform and educate the public on fire prevention.,
First line supervisor assembly line workers,"First line supervisors assembly line workers supervise, coordinate and participate in the activities of assembly line workers.","1. Determine production requirements (e.g. output quality and quantity, cost, time, labour requirements), e.g. by analysing charts, work orders, production schedules, etc.","2. Determine schedules, sequences and assignments for assembly line activities. ",3. Confer with other supervisors to coordinate operations and activities within or between departments.,"4. Give instructions to workers, e.g. about work specifications, equipment operation. ","5. Monitor and control materials, products or equipment to detect defects or faults.","6. Monitor assembly line workers’ performance, e.g. by monitoring gauges, dials and other indicators.",7. Control quality and quantity of production.,8. Evaluate current production estimates and outputs.,9. Participate in the work activities of assembly line workers.,10. Conduct or arrange training in job-related skills for workers.,11. Enforce safety and sanitation regulations.,"12. Recommend and implement initiatives such as new techniques and products, purchases of new machinery and changes in staff levels."
First line supervisor cleaning workers,"First line supervisor cleaning workers supervise work activities of cleaning personnel in hotels, hospitals, offices and other establishments.","1. Supervise and coordinate the activities of cleaning staff, plan and prepare employee work schedules and assign duties. ","2. Instruct staff in work policies and procedures, and in the use and maintenance of equipment.","3. Recruit and train employees and recommend promotions, transfers or dismissals.",4. Inspect and evaluate the facilities to determine the cleaning work required.,"5. Check cleaning equipment (e.g. vacuum cleaners, pressure washers) to ensure it is in working order, and arrange equipment maintenance and repairs.","6. Select the most suitable cleaning agents for different types of furniture, flooring, and surfaces. ",7. Inspect work performed to ensure it meets contract specifications. ,"8. Investigate complaints about service and equipment, and take corrective action. ",9. Liaise with other departments to ensure that services are provided in an efficient and timely manner. ,"10. Take inventory of stocks to ensure supplies are adequate, and order supplies. ","11. Prepare and control budgets, estimate costs and keep financial records. ","12. Make sure that relevant hygiene, technical and occupational health and safety standards are followed."
First line supervisor manufacturing workers,"First line supervisors manufacturing workers supervise, coordinate and participate in the activities of manufacturing workers, such as inspectors, precision workers, machine setters and operators, assemblers, fabricators, and plant and system operators.","1. Determine production requirements (e.g. output quality and quantity, cost, time, labour requirements), e.g. by analysing charts, work orders, production schedules, etc.","2. Determine schedules, sequences and assignments for manufacturing work activities. ",3. Confer with other supervisors to coordinate operations and activities within or between departments.,"4. Give instructions to workers, e.g. about work specifications, equipment operation. ","5. Monitor and control materials, products or equipment to detect defects or faults.","6. Monitor manufacturing workers’ performance, e.g. by monitoring gauges, dials and other indicators.",7. Control quality and quantity of production.,8. Evaluate current production estimates and outputs.,9. Participate in the work activities of manufacturing workers.,10. Conduct or arrange training in job-related skills for workers.,11. Enforce safety and sanitation regulations.,"12. Recommend and implement initiatives such as new techniques and products, purchases of new machinery and changes in staff levels."
"First line supervisor, mechanics, installers or repairers","First line supervisors, mechanics, installers or repairers supervise, coordinate and participate in the activities of mechanics, installers, and repairers.","1. Determine necessary installations, services and repairs, e.g. by analysing relevant information and examining objects, systems and facilities.","2. Determine schedules, sequences and assignments for work activities. ","3. Give instructions to workers, e.g. work specifications, blueprints or job orders. ","4. Monitor and control work areas, tools and equipment.",5. Monitor and review employees' work performance.,"6. Participate in the work activities of mechanics, installers or repairers.","7. Compute estimates and actual costs, for instance of materials, labour and outside contractors.","8. Participate in budget preparation and administration, e.g. by monitoring departmental expenditures and coordinating purchasing. ",9. Advise employees on work-related issues. ,10. Conduct or arrange training in job-related skills for workers.,,
"First line supervisors landscaping, lawn service or groundskeeping workers","First line supervisors landscaping, lawn service or groundskeeping workers plan, organise, direct or coordinate activities of workers engaged in landscaping or groundskeeping activities.",1. Interpret plans and drawings.,"2. Confer with clients, contractors, other supervisors or other relevant parties to plan and coordinate work activities.","3. Schedule work for crews, e.g. depending on work priorities, crew and equipment availability, and weather conditions. ","4. Direct and supervise activities of workers who perform duties such as landscaping, cultivating lawns or planting and maintaining vegetation.",5. Provide workers with assistance in performing duties as necessary.,"6. Monitor project activities to ensure that instructions and schedules are followed, quality is maintained and deadlines are met. ","7. Inspect completed work to ensure conformity to specifications, standards and contract requirements. ","8. Train workers, e.g. in tasks such as transplanting and pruning trees and shrubs, finishing cement, using equipment, and caring for turf. ",9. Establish and enforce operating procedures and work standards that will ensure adequate performance and personnel safety. ,"10. Take inventory of tool, equipment and materials supplies to ensure that sufficient supplies are available and items are in usable condition. ",11. Suggest changes in work procedures when necessary.,
Flight attendant,"Flight attendant provide personal services to ensure both the safety and comfort of airline passengers during flight. Greet passengers, verify tickets, explain use of safety equipment, and serve food or beverages.","1. Attend pre-flight briefings concerning issues such as weather, altitudes, routes, emergency procedures, crew coordination, length of flight, food and beverage services offered, and number of passengers.","2. Verify that first aid kits and other emergency equipment, such as fire extinguishers and oxygen bottles, are in working order, and check that food, beverages, blankets, reading material etc. are on board in adequate supply.","3. Greet passengers, check boarding passes and care for the storage of hand luggage.",4. Close and open aircraft doors.,"5. Announce and demonstrate safety and emergency procedures such as the use of oxygen masks, seat belts, and life jackets.","6. Prepare, following procedures, passengers and aircraft for take-off and landing, and check that all passengers have complied with safety regulations.","7. Serve beverages, refreshments, meals and snacks, distribute reading material, pillows and blankets, and sell tax-free articles.",8. Make flight announcements and provide travel information e.g. about connecting flights.,"9. Determine passengers’ special assistance needs, e.g. those of small children, the elderly or disabled, and administer first aid to passengers when necessary.","10. Take action in the event of decompression, turbulence, mechanical faults, or unlawful acts by passengers, and keep passengers calm in such situations.","11. Direct and assist passengers in emergency events, e.g. by helping evacuating the plane after an emergency landing.","12. Complete paperwork, including a flight report, take inventory of headsets, alcoholic beverages and money, and report any lost and found articles, passenger medical problems and cabin equipment problems."
Florist,Florists design and make up floral arrangements for sale to the public.,1. Order and purchase flowers and other floristry items from wholesalers or growers. ,"2. Display flowers, plants and ready-made flower arrangements.","3. Water plants, and cut, condition and clean flowers and foliage for storage. ","4. Confer with customers, e.g. regarding the price and type of the arrangement desired, to suggest suitable flowers, and to fix the date, time and place of delivery. ","5. Plan floral arrangements according to customers' requirements or for general sale, e.g. utilising knowledge of design and properties of materials.","6. Arrange, trim and secure bouquets, wreaths and other items using trimmers, wire, floral tape, foam, etc., following own plans or standard design patterns.","7. Wrap and price completed floral arrangements, and arrange for delivery if necessary.","8. Decorate or supervise the decoration of buildings, halls, churches or other facilities for parties, weddings and other occasions.","9. Inform customers about the care, maintenance and handling of flowers, plants, foliage and other items. ","10. Perform office and retail service duties, such as keeping financial records, serving customers, answering telephones, selling flowers, plants and giftware items, and receiving payments. ","11. Plan and manage a budget, and hire and supervise staff.",
Food science technician,Food science technicians perform (standardised) tests to determine the properties of food or beverage products. They may provide assistance to food scientists and technologists.,"1. Clean, maintain and set up laboratory equipment. ",2. Collect and prepare samples.,"3. Conduct standardised tests on food, beverages, additives and preservatives, e.g. to ensure compliance with standards and regulations of colour, texture, nutrients, etc. ","4. Take measurements and readings, and compute product properties such as moisture or salt content, percentages of ingredients and formulas, e.g. using mathematical and chemical procedures.","5. Record and compile test results, and prepare graphs, charts and reports.","6. Analyse test results to classify products, or compare results with standard tables. ","7. Examine chemical and biological samples, using microscope, to identify cell structures, locate bacteria, etc. ",8. Taste or smell foods or beverages to ensure that flavours meet specifications or to select samples with specific characteristics. ,"9. Mix, blend or cultivate ingredients, e.g. to make reagents or to manufacture food or beverage products.","10. Measure, test and weigh bottles, cans and other containers, e.g. in order to ensure hardness, strength and compliance to specifications.",11. Order laboratory supplies.,"12. Develop and adapt laboratory procedures, under the direction of scientists, following technical developments in the area."
Garage supervisor,"Garage supervisors plan, organise, direct, co-ordinate and participate in the day-to-day running of garages and specialist vehicle maintenance and repair establishments.",1. Confer with customers to obtain descriptions of vehicle problems and to discuss work to be performed.,2. Estimate costs and time required for repair or maintenance of the vehicle.,"3. Plan, organise and co-ordinate the day-to-day running of the garage, e.g. by writing work orders and by arranging for garage staff to perform necessary maintenance and repair work on vehicles.","4. Repair, maintain and service vehicles, e.g. by repairing mechanical and electronic components.","5. Ensure that necessary spare parts, materials and equipment are available or obtainable at short notice.","6. Check the activities in the garage, inspect completed work for compliance with safety and other statutory regulations, and make sure defects are repaired or adjusted.","7. Maintain records of repair and service work, make reports to detect recurrent faults.",8. Make sure the vehicle is returned to the owner in a clean and decent state. ,"9. Provide information for staff about latest developments, technical specifications of new cars, garage merchandise i",,,
Gardener,"Gardeners plant and maintain public or private gardens and lawns, and construct garden features.","1. Prepare the ground, e.g. prepare soil, install drainage, and level the ground.","2. Plant trees, hedges, garden plants, grass, etc. ","3. Construct features and facilities within gardens, such as paths or paved areas, walls, rockeries, ponds and water features, sheds and fences.","4. Check the health of plants and trees, identify and treat weeds, pests and diseases, and apply mulch and fertilisers.","5. Prune and trim trees, shrubs and hedges, and install plant supports and protection.","6. Roll, mow, aerate and edge lawns.",7. Raise plants from seeds or cuttings.,"8. Install, operate and maintain irrigation systems.","9. Tidy garden areas (e.g. pathways), for example by clearing leaves, snow and litter.","10. Maintain and repair gardening tools, equipment and structures.",11. Advise clients on garden maintenance and answer questions.,
General practitioner gp,"General practitioner gp's diagnose, treat, and help prevent diseases and injuries that commonly occur in the general population.","1. Examine patient to determine the nature of disorder or illness, and record patient's medical information into his or her medical file","2. Maintain and record patient medical information, such as medical history","3. Provide overall care for patients and prescribe and administer treatments, medications and other remedial measures",4. Refer patients to other specialists and exchange relevant medical information with the specialists,5. Arrange for patients to be admitted to hospital,"6. Assist in the prevention of diseases and disorders by advising patients on diet, exercise, hygiene and general health ","7. Order, perform and analyse laboratory tests, X-rays and other diagnostic images and procedures ",8. Provide prenatal and postnatal care,"9. Report births, deaths and notifiable diseases to government authorities",,,
Hairdresser,"Hairdressers wash, cut, colour, style and treat hair.",1. Discuss client’s requirements and analyse their hair and other relevant physical features to define the desired hair style.,"2. Shampoo, condition and rinse client’s hair with water, liquid soap or other solutions.","3. Cut, trim and shape hair to achieve the desired style, e.g. using scissors, comb, clippers, trimmers and razors.","4. Bleach, colour, perm or straighten hair using various chemical products, and make sure the products are used and stored correctly.","5. Style hair e.g. by combing, brushing, blow-drying, straightening, curling or waving.",6. Provide basic treatment for minor hair and scalp problems. ,"7. Demonstrate and sell hair care products, and advise clients on hair care.",8. Maintain client records.,"9. Perform reception duties, e.g. schedule appointments, answer the telephone, order supplies and operate cash register to receive payments.","10. Keep the salon, work station and tools clean and tidy.","11. Keep up-to-date with new products, styles and techniques.",12. Train and supervise other hairdressers or assistants.
Health service manager,"Health service managers plan, direct, or coordinate medicine and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.","1. Establish conditions for meeting medical, business and workplace objectives and criteria for the unit","2. Manage clinical, professional, clerical and administrative staff","3. Manage recruitment, selection, appraisal and development of the staff",4. Monitor the use of health services to ensure effeciency,5. Develop and implement new policies to improve health service delivery,6. Set budgets and maintain finances,7. Develop and maintain record management systems,8. Liaise with medical and nursing staff,"9. Represent the health service, e.g. By attending meetings and seminars","10. Liaise with external contacts, e.g. Local politicians, business companies and medical associations",,
Horse riding instructor,"Horse riding instructors teach people of all ages, levels of ability and experience to ride horses.",1. Plan and organise horse riding practice sessions for groups or individuals. ,2. Develop training programmes suited to individual riders and groups.,"3. Conduct practice sessions to teach horse riding and related activities to groups or individuals, making sure that training is carried out safely.",4. Give practical demonstrations of riding activities.,"5. Observe riders in order to spot and help correct problems in riding techniques, etc.","6. Select, store, inspect and maintain specialised clothing, equipment and supplies.","7. Help individual riders or teams to find appropriate competitions (e.g. show jumping, eventing and dressage), and to prepare for them.",8. Undertake related administrative tasks such as booking venues and budgeting.,9. Manage marketing and promotional activities.,10. Teach assistant instructors. ,"11. Supervise and participate in the work in the stable (e.g. feeding, cleaning).",
Hospital nurse ,Hospital nurses provide bedside nursing and direct care to patients in the hospital and consult with physicians and other members in the health care team about an effective care plan.,"1. Monitor the medical condition of the patient, including diet and physical activities","2. Observe and report change in conduct, conditions, and physical functions of the patient",3. Create and maintain records of patients ,"4. Provide preventive, curative and palliative nursing treatment and therapy","5. Administer medication orally, via rectum, subcutaneously and intramuscularly ",6. Assist medical doctors in their work during treatments of patients e.g. by performing basic (medical) procedures such as taking blood pressure and applying and changing dressings,"7. Collect specimens such as urine, faeces or sputum","8. Assist patients in activities such as walking, exercising and getting in and out of bed","9. Turn and reposition bedridden patients, alone or with assistance, to prevent bedsores",10. Prepare patients for operations and assist with examinations and treatments,"11. Check equipment, supplies and stocks","12. Arrange information, advice and instruction for patient treatment and care after they leave hospital and educate also the family about the details"
Hotel manager,"Hotel managers plan, direct or coordinate all hotel activities. Take responsibility of all hotel services, including reception, concierge services, reservations, banqueting, housekeeping, maintenance and refurbishing, staff development, and sales and marketing as well as hotel administration.","1. Plan, organise, and coordinate the entire operation of the hotel (including guest services, personnel management and hotel administration).","2. Manage, supervise and train personnel and apprentices.",3. Recruit and assign new staff members.,4. Observe and monitor staff performance to ensure efficiency and adherence to policies and procedures. ,5. Confer and cooperate with managers of departments to ensure coordination of hotel activities. ,"6. Control quality to ensure expected standards in guest services, decor, housekeeping, food, and banqueting etc..",7. Develop and promote marketing strategies.,"8. Manage and coordinate accounting, budgets, statistical records, calculate operating figures, set room rates, and strive for achieving profit targets.","9. Supervise maintenance, supplies and furnishings, deal with contractors and suppliers, and organise effective security. ","10. Coordinate front-office activities, and meet, greet and register guests. ","11. Answer enquiries about hotel policies and services, and deal with customer complaints and comments. ","12. Ensure compliance with health, occupational safety, licensing and other statutory regulations."
House painter,"House painters prepare surfaces and apply paint, stain, varnish, wallpaper and other finishes to protect and maintain interior and exterior surfaces of buildings. ",1.      Read work orders or receive instructions from clients in order to determine work requirements (e.g. materials). ,"2. Estimate costs, based on surface measurements and/or work orders. ","3.      Erect scaffolding, supports, ladders etc. to work above ground level.","4. Clear the surface, remove obstructing fixtures (e.g. lamps, electric switch covers) and cover surfaces with dustsheets, plastic sheets etc. ","5.      Prepare surfaces using different techniques (e.g. burning, sanding, scraping, sandblasting and/or treating with preparations, (e.g., turpentine, mildew remover).","6.      Fill cracks, holes, and joints with caulk, putty, plaster, or other fillers, for instance using caulking guns or putty knives. ",7.      Apply a primer or sealer to prepare the surface for the finish coat. ,"8.      Mix paint, stain, or varnish with oil, turpentine or other additives in order to obtain desired colours and consistencies.","9.      Apply paint, stain, varnish, wallpaper and other finishes to walls, ceilings and/or other surfaces inside or outside the building using different techniques and equipment, such as brushes, spray guns, or rollers. ",10.  Wash equipment and clean work areas. ,,
Human resource manager,"Human resource managers plan, direct, and coordinate human resource management activities of an organisation.","1. Develop and formulate human resource management strategies, policies and procedures. ",2. Manage and coordinate the implementation of HR policies and procedures.,3. Develop and implement management information systems. ,"4. Recruit and allocate human resources, attract the most qualified employees and match them to the jobs for which they are best suited","5. Communicate and provide current and prospective employees with information about policies, job duties, working conditions, wages, opportunities for promotion and employee benefits",6. Advise and assist managers in recruiting and training of personnel,"7. Develop equal opportunity and non-sexual harassment programs, make sure that the organisation complies with related legislation",8. Coordinate occupational health and safety programs and practices ,"9. Monitor and measure employment costs and productivity levels, labour and employment relations of all the staff",10. Plan training programs for employees,"11. Train and advise other managers, e.g. in personnel or industrial relations matters.",
Inland waters fisherman,"Inland waters fishermen catch and gather fish or other aquatic animals from rivers or lakes, for human consumption or other uses, e.g. using nets, fishing rods, traps or other equipment. ",1. Estimate costs of operations and plan budgets.,2. Plan fishing voyages with the aim of making profit.,3. Steer vessels and operate navigational instruments and fish-finding equipment. ,4. Prepare and put fishing equipment into the water.,"5. Haul fishing equipment from the water, e.g. pull and guide nets, traps and lines onto the vessel by hand or using hoisting equipment, or signal other workers to move, hoist and position loads.","6. Remove catches from fishing equipment, measure them to ensure compliance with legal size, and return undesirable or illegal catches to the water. ","7. Sort, clean and store catch.",8. Supervise and assist fishing crew members.,"9. Load supplies and equipment to vessel, and unload catch from vessel.","10. Inspect and maintain engines, fishing gear and other on-board equipment, perform minor repairs, clear and clean deck and other parts of vessel. ","11. Record catch details, crew activities, weather conditions, etc. to logs, and keep records of financial activities.","12. Maintain safe operating conditions, keep up-to-date with systems and equipment, and ensure vessel follows relevant laws and regulations."
Interior decorator ,"Interior decorators plan and implement decoration schemes for homes, offices, shops and professional rooms. ","1. Confer with clients to obtain relevant information, e.g. about their budget, ideas and requirements.","2. Gather relevant information for the design, e.g. by taking measurements of the premises or by reading drawings.",3. Make initial design sketches for client approval.,"4. Advise clients on interior decoration, e.g. selection of colour schemes, layout, lighting, furniture, floor coverings, curtains, paint, wallpaper and artwork. ",5. Estimate materials requirements and costs.,6. Sell furnishings and furniture to clients.,"7. Make a design, e.g. on a computer, and revise if necessary.",8. Present the design to the client. ,9. Coordinate the installation and arrangement of furnishings and furniture.,,,
International truck driver,"International truck drivers drive heavy goods vehicles to transport goods and materials (e.g. flammable substances, fluids, raw materials, building materials, manufactured good, livestock and refrigerated products) from one country to another. ","1. Prepare the delivery of the cargo, e.g. by planning the most appropriate route and calculating driving and resting hours.","2. Check the technical status of the lorry to ensure it is in good working order, e.g. by checking brakes, oil and tyres.","3. Perform minor maintenance and repairs to the lorry, e.g. change tyres and correct minor electrical faults.",4. Manoeuvre lorries into loading or unloading positions following signals from loading crew.,"5. Load and unload cargo if required (e.g. by using a forklift) and secure it for transport (e.g. by using ropes, blocks and chains).","6. Check the load (e.g. condition, quantity) ",7. Make sure all load-related national and international documentation is complete and accurate.,8. Drive the lorry and it’s loads defensively to the destination and handle any hazardous road conditions.,"9. Maintain logs, for example of working hours and lorry servicing, following relevant national and international regulations, e.g. by using a tachograph.","10. Report delays and problems such as lorry faults and damage, accidents and traffic violations to the base.","11. Obtain receipts or signatures when loads are delivered, and collect payment for services when required. ",
IT applications programmer,"IT applications programmers develop, create, and modifie general computer applications software or specialized utility programs; analyze user needs and develop software solutions;  designs software or customizes software for client use with the aim of optimizing operational efficiency; may analyze and design databases within an application area, working individually or coordinating database development as part of a team.",1. Develop application software specifically for individual users.,2. Consult with users about software system design and maintenance.,"3. Confer with systems analysts, engineers, programmers and others to design system and to obtain information on project limitations and capabilities, performance requirements and interfaces.",4. Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,"5. Modify, adapt, extend, integrate existing software solutions including standard software.",6. Test and implement developed programs.,"7. Improve application software with regard to functionality, security and economic viability.","8. Draw up program documentations, such as step-by-step-guides.","9. Guide, train and qualify users.",,,
IT systems administrator,"IT systems administrators install, configure, and support an organization's local area network (LAN), wide area network (WAN), and Internet system or a segment of a network system. Maintain network hardware and software. Monitor network to ensure network availability to all system users and perform necessary maintenance to support network availability.","1. Diagnose hardware and software problems, and replace defective components.",2. Perform data backups and disaster recovery operations.,"3. Maintain and administer computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations.","4. Plan, coordinate, and implement network security measures to protect data, software, and hardware.","5. Operate master consoles to monitor the performance of computer systems and networks, and to coordinate computer network access and use.","6. Perform routine network startup and shutdown procedures, and maintain control records.","7. Design, configure, and test computer hardware, networking software and operating system software.","8. Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",9. Confer with network users about how to solve existing system problems.,"10. Programming in scripting languages (such as Javascript, PERL, CGI, Vbscript, ...)",,
Journalist,"Journalists collect and analyze facts about newsworthy events by interview, investigation, or observation. Report and write stories for newspaper, news magazine, radio, or television.","1. Select, write and report (on) current stories for publication, broadcast and/or narrowcast, describe and illustrate detail as well as background.","2. Review copy and correct errors in content, grammar and punctuation, adhere to editorial style, formats, possibilities and limitations of different media.","3. Gather information online and offline, through (desk) research, interviews, field experience and attendance at social events and public functions.","4. Make the significant interesting and relevant to a target audience, keep the news comprehensive and proportional under pressure of a deadline.","5. Analyze audiences and their interests, present different sides to a (conflicting) story, use multiple original sources, verify before going public.","6. Stay abreast of trends and issues, know who’s who and how to reach them, recognize newsworthy issues zooming in from a helicopter view of society.","7. Consult the persons who decide on the selection of stories (such as editors or program directors) and technical personnel (e.g. audiovisual operators) for support, if needed.","8. Act in correspondence with journalist ethics: e.g. maintain independence, withstand pressure, bribes or presents from interested parties, abstain from topics involving own personal interests, credit and protect sources, avoid plagiarism.","9. Provide a forum for public opinion and stimulate it through editorials, columns and reviews.","10. Respond to, interact with individuals and target audiences through the media at your disposal.",,
Judge,"Judges arbitrate, advise, adjudicate, or administer justice in a court of law. ",1. Look for and analyse evidence in a case.,2. Preside over hearings and listen to allegations made by plaintiffs to determine whether the evidence supports the charges.,3. Interpret and enforce rules of procedure or establish new rules in situations where there are no procedures already established by law.,4. Check if the evidences presented in the case were collected in accordance with the law.,5. Monitor proceedings to ensure that all applicable rules and procedures are followed.,"6. Advise relevant others, e.g. attorneys, juries, litigants, and/or court personnel regarding conduct, issues, and proceedings.",7. Determine a sentence based on all evidence using the law.,8. Prepare the sentences evaluations.,9. Organize and follow-up on the execution of the sentence.,10. Research legal issues and write opinions on the issues.,,
